theater_id,theater_sort,theater_name,location_group,msa_id,dma_id,seats,posted_capacity,highcap,lowcap
1,1,225 E Houston St,Off-Broadway,,,0,Capacity: 0,,0
2,2,3LD Art- Technology Center,Special Attraction,,,200,Capacity: 200,,200
3,3,42West,Off-Broadway,,,0,Capacity: 0,,0
4,4,47th St Theatre,Off-Broadway,,,185,Capacity: 185,,185
5,5,59E59 - Theater A,Off-Broadway,,,196,Capacity: 196,,196
6,6,59E59 - Theater B,Off-Broadway,,,98,Capacity: 98,,98
7,7,59E59 - Theater C,Off-Broadway,,,70,Capacity: 70,,70
8,8,5th Avenue Theatre,Regional,,,2130,Capacity: 2130,,2130
9,9,777 Theatre,Off-Broadway,,,147,Capacity: 147,,147
10,10,A Contemporary Theatre (ACT) - The Falls Theater,Regional,,,409,Capacity: 409,,409
11,11,A Red Orchid Theatre,Regional,,,75,Capacity: 75,,75
12,12,Broward Center,Touring House,,,5455,Capacity: 5455,,5455
13,13,A.C.T. - Geary,Regional,,,1025,Capacity: 1025,,1025
14,14,A.C.T. - Strand,Regional,,,283,Capacity: 283,,283
15,15,A.R.T - Loeb Drama Center,Regional,,,556,Capacity: 556,,556
16,16,A.R.T. New York - Gural,Off-Broadway,,,87,Capacity: 87,,87
17,17,Abilene Civic Center,Touring House,,,2121,Capacity: 2121,,2121
18,18,Abingdon,Off-Broadway,,,0,Capacity: 0,,0
19,19,Abingdon - Dorothy Strelsin,Off-Broadway,,,56,Capacity: 56,,56
20,20,Abingdon - June Havoc,Off-Broadway,,,98,Capacity: 98,,98
21,21,Abrons Arts Center,Off-Broadway,,,300,Capacity: 300,,300
22,22,Academy of Music,Off-Broadway,,,2500,Capacity: 2500,,2500
23,23,Actors Temple,Off-Broadway,,,199,Capacity: 199,,199
24,24,Adler Theatre,Touring House,,,2350,Capacity: 2350,,2350
25,25,Ahmanson Theatre,Regional,,,2084,Capacity: 2084,,2084
26,26,Akron Civic,Touring House,,,0,Capacity: 0,,0
27,27,Al Hirschfeld,Broadway,,,1437,Capacity: 1437,,1437
28,28,Alaska Center,Touring House,,,0,Capacity: 0,,0
29,29,Alberta Bair Theater,Touring House,,,0,Capacity: 0,,0
30,30,Alley Theatre,Regional,,,824,Capacity: 824,,824
31,31,Alliance Theatre at the Woodruff - Alliance Stage,Regional,,,770,Capacity: 770,,770
32,32,Alliance Theatre at the Woodruff - Hertz Theater,Regional,,,200,Capacity: 200,,200
33,33,Altria Theater,Regional,,,3565,Capacity: 3565,,3565
34,34,Amarillo Civic Center,Touring House,,,0,Capacity: 0,,0
35,35,Ambassador,Broadway,,,1124,Capacity: 1124,,1124
36,36,American Airlines,Broadway,,,740,Capacity: 740,,740
37,37,American Irish Historical Society,Off-Broadway,,,0,Capacity: 0,,0
38,38,American Music Theatre,Touring House,,,0,Capacity: 0,,0
39,39,American Theatre,Touring House,,,0,Capacity: 0,,0
40,40,Angelina Arts Alliance,Touring House,,,0,Capacity: 0,,0
41,41,Apollo Theater Chicago,Touring House,,,435,Capacity: 435,,435
42,42,ArcLight Theatre,Off-Broadway,,,54,Capacity: 54,,54
43,43,Arena Stage - Fichandler,Regional,,,680,Capacity: 680,,680
44,44,Arena Stage - Kogod Cradle,Regional,,,200,Capacity: 200,,200
45,45,Arena Stage - The Kreeger Theater,Regional,,,514,Capacity: 514,,514
46,46,Arkansas Repertory Theatre,Regional,,,0,Capacity: 0,,0
47,47,Aronoff Center - P&G,Regional,,,2700,Capacity: 2700,,2700
48,48,Ars Nova,Off-Broadway,,,99,Capacity: 99,,99
49,49,Arsht Center,Touring House,,,2200,Capacity: 2200,,2200
50,50,ART/New York - Mezzanine,Off-Broadway,,,149,Capacity: 149,,149
51,51,Artis-Naples - Hayes Hall,Touring House,,,1475,Capacity: 1475,,1475
52,52,Astor Place,Off-Broadway,,,300,Capacity: 300,,300
53,53,ASU Gammage,Touring House,,,3011,Capacity: 3011,,3011
54,54,AT&T PAC - McDermott,Touring House,,,2200,Capacity: 2200,,2200
55,55,Atlantic - Stage 2,Off-Broadway,,,99,Capacity: 99,,99
56,56,Atlantic - Linda Gross,Off-Broadway,,,199,Capacity: 199,,199
57,57,Atlantic - Mainstage,Off-Broadway,,,199,Capacity: 199,,199
